Provincias;Españoles/Extranjeros;Sexo;Edad (grupos quinquenales);Año;Total
02  Albacete;TOTAL;Ambos sexos;70-74 años;2019;16.446
02  Albacete;TOTAL;Ambos sexos;75-79 años;2019;13.714
02  Albacete;TOTAL;Ambos sexos;80-84 años;2019;12.437
02  Albacete;TOTAL;Ambos sexos;85-89 años;2019;9.152
02  Albacete;TOTAL;Ambos sexos;90-94 años;2019;3.808
02  Albacete;TOTAL;Ambos sexos;95-99 años;2019;844
02  Albacete;TOTAL;Ambos sexos;100 años y más;2019;127
03  Alicante/Alacant;TOTAL;Ambos sexos;70-74 años;2019;95.236
03  Alicante/Alacant;TOTAL;Ambos sexos;75-79 años;2019;69.244
03  Alicante/Alacant;TOTAL;Ambos sexos;80-84 años;2019;51.355
03  Alicante/Alacant;TOTAL;Ambos sexos;85-89 años;2019;32.475
03  Alicante/Alacant;TOTAL;Ambos sexos;90-94 años;2019;12.735
03  Alicante/Alacant;TOTAL;Ambos sexos;95-99 años;2019;2.835
03  Alicante/Alacant;TOTAL;Ambos sexos;100 años y más;2019;476
04  Almería;TOTAL;Ambos sexos;70-74 años;2019;26.796
04  Almería;TOTAL;Ambos sexos;75-79 años;2019;18.182
04  Almería;TOTAL;Ambos sexos;80-84 años;2019;14.951
04  Almería;TOTAL;Ambos sexos;85-89 años;2019;9.459
04  Almería;TOTAL;Ambos sexos;90-94 años;2019;3.718
04  Almería;TOTAL;Ambos sexos;95-99 años;2019;798
04  Almería;TOTAL;Ambos sexos;100 años y más;2019;175
01  Araba/Álava;TOTAL;Ambos sexos;70-74 años;2019;17.046
01  Araba/Álava;TOTAL;Ambos sexos;75-79 años;2019;12.220
01  Araba/Álava;TOTAL;Ambos sexos;80-84 años;2019;9.776
01  Araba/Álava;TOTAL;Ambos sexos;85-89 años;2019;7.199
01  Araba/Álava;TOTAL;Ambos sexos;90-94 años;2019;3.187
01  Araba/Álava;TOTAL;Ambos sexos;95-99 años;2019;783
01  Araba/Álava;TOTAL;Ambos sexos;100 años y más;2019;121
33  Asturias;TOTAL;Ambos sexos;70-74 años;2019;62.030
33  Asturias;TOTAL;Ambos sexos;75-79 años;2019;42.175
33  Asturias;TOTAL;Ambos sexos;80-84 años;2019;39.992
33  Asturias;TOTAL;Ambos sexos;85-89 años;2019;31.763
33  Asturias;TOTAL;Ambos sexos;90-94 años;2019;14.037
33  Asturias;TOTAL;Ambos sexos;95-99 años;2019;3.526
33  Asturias;TOTAL;Ambos sexos;100 años y más;2019;512
05  Ávila;TOTAL;Ambos sexos;70-74 años;2019;8.592
05  Ávila;TOTAL;Ambos sexos;75-79 años;2019;7.136
05  Ávila;TOTAL;Ambos sexos;80-84 años;2019;6.856
05  Ávila;TOTAL;Ambos sexos;85-89 años;2019;5.647
05  Ávila;TOTAL;Ambos sexos;90-94 años;2019;2.722
05  Ávila;TOTAL;Ambos sexos;95-99 años;2019;792
05  Ávila;TOTAL;Ambos sexos;100 años y más;2019;116
06  Badajoz;TOTAL;Ambos sexos;70-74 años;2019;30.766
06  Badajoz;TOTAL;Ambos sexos;75-79 años;2019;23.427
06  Badajoz;TOTAL;Ambos sexos;80-84 años;2019;21.247
06  Badajoz;TOTAL;Ambos sexos;85-89 años;2019;15.043
06  Badajoz;TOTAL;Ambos sexos;90-94 años;2019;5.734
06  Badajoz;TOTAL;Ambos sexos;95-99 años;2019;1.249
